category,count
suicide,10
liquor_laws,14
arson,22
kidnapping,22
financial_crime,25
sex_offenses,44
prostitution,49
disorderly_cond,84
weapon_laws,115
trespass,158
fraud,216
robbery,296
drug_narcotic,301
missing_person,306
warrants,422
suspicious_occ,506
burglary,517
vehicle_related,642
vandalism,822
assault,1129
non_criminal,1446
other_offenses,1654
larceny_theft,3818
